Reference,Value,Footprint,Datasheet,Qty,DNP,Exclude from BOM,Exclude from Board
A1,A000067,MyParts:MODULE_A000067,,1,,,
C1,100nF,Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P5.00mm,~,1,,,
D2,Red-LED,LED_SMD:LED_1206_3216Metric,~,1,,,
D3,1N5819,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88525/1n5817.pdf,1,,,
D4,Green-LED,LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,~,1,,,
D5,BLUE-LED,LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,~,1,,,
D6,Yellow-LED,LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,~,1,,,
D7,Purple-LED,LED_THT:LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O3.81mm_Z1.6mm,~,1,,,
D8,Orange-LED,LED_THT:LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O3.81mm_Z1.6mm,~,1,,,
F1,1812L110_24DR,MyParts:FUSM4632X200N,,1,,,
"H1,H2,H3,H4,H5,H6",MountingHole_Pad,MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad,~,6,,Excluded from BOM,
J1,Screw_Encoder_1,TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-06P_1x06_P5.00mm,~,1,,,
J2,Screw_Encoder_2,TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-06P_1x06_P5.00mm,~,1,,,
J3,Screw_Encoder_3,TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-06P_1x06_P5.00mm,~,1,,,
J4,Screw_Encoder_4,TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-06P_1x06_P5.00mm,~,1,,,
J5,Screw_HC-SR04,TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x04_P3.50mm_Horizontal,~,1,,,
J6,Screw_LCD,TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x04_P3.50mm_Horizontal,~,1,,,
J7,12V DC-Jack,MyParts:GCT_DCJ200-10-A-XX-K_REVA,,1,,,
J8,Screw_Servos,TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-06P_1x06_P5.00mm,~,1,,,
J9,USB-B-S-X-X-TH,MyParts:SAMTEC_USB-B-S-X-X-TH,,1,,,
J10,XT60-M,MyParts:AMASS_XT60-M,,1,,,
"Q1,Q2",IRF4905,Package_TO_SOT_THT:TO-220-3_Vertical,http://www.infineon.com/dgdl/irf4905.pdf?fileId=5546d462533600a4015355e32165197c,2,,,
R1A1,200k,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,~,1,,,
R1C1,230k,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,~,1,,,
R1D1,24.9k,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,~,1,,,
"R2,R3,R4,R5,R6,R7",330,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,~,6,,,
S1,MINI-SPDT-SW,MyParts:SW_MINI-SPDT-SW,,1,,,
S2,RST,MyParts:SW_BUTT-2,,1,,,
"U1,U2",L298N,MyParts:TO127P2020X500X2100-15,,2,,,
U3,LV25-P,Sensor_Voltage:LEM_LV25-P,https://www.lem.com/sites/default/files/products_datasheets/lv_25-p.pdf,1,,,
U4,HC-05,MyParts:XCVR_HC-05,,1,,,
U5,LM7812_TO220,Package_TO_SOT_THT:TO-220-3_Vertical,https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF,1,,,
U6,LM7805_TO220,Package_TO_SOT_THT:TO-220-3_Vertical,https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF,1,,,
U7,TVS1800DRV,Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,http://www.ti.com/lit/ds/symlink/tvs1800.pdf,1,,,
U8,CH340C,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,https://datasheet.lcsc.com/szlcsc/Jiangsu-Qin-Heng-CH340C_C84681.pdf,1,,,
U9,LTC4416IMS_PBF,MyParts:MSOP-10_MS,,1,,,
